,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
159,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/soc-Epinions1/soc-Epinions1.cbd,2,2,2,75888,75888,508837,12.36433,39924100,6.457947984241766
160,exe_spgemm_cusparse_16,/ssget/MM/SNAP/as-735/as-735.cbd,2,2,2,7716,7716,26467,1.82558,4166041,4.5640738833685734
161,exe_spgemm_cusparse_32,/ssget/MM/SNAP/as-735/as-735.cbd,4,4,4,7716,7716,26467,1.79101,4166041,4.652169446290082
162,exe_spgemm_cusparse_64,/ssget/MM/SNAP/as-735/as-735.cbd,8,8,8,7716,7716,26467,1.74097,4166041,4.785884880267897
163,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/as-735/as-735.cbd,2,2,2,7716,7716,26467,1.76684,4166041,4.715810146928981
164,exe_spgemm_cusparse_16,/ssget/MM/SNAP/soc-Slashdot0902/soc-Slashdot0902.cbd,2,2,2,82168,82168,948464,38.54899,117126458,6.076758846340721
165,exe_spgemm_cusparse_32,/ssget/MM/SNAP/soc-Slashdot0902/soc-Slashdot0902.cbd,4,4,4,82168,82168,948464,41.45282,117126458,5.651073099489974
166,exe_spgemm_cusparse_64,/ssget/MM/SNAP/soc-Slashdot0902/soc-Slashdot0902.cbd,8,8,8,82168,82168,948464,54.1188,117126458,4.328494275556738
167,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/soc-Slashdot0902/soc-Slashdot0902.cbd,2,2,2,82168,82168,948464,38.74783,117126458,6.045575094140756
168,exe_spgemm_cusparse_16,/ssget/MM/SNAP/soc-sign-epinions/soc-sign-epinions.cbd,2,2,2,131828,131828,841372,31.38825,95900856,6.110621394948747
169,exe_spgemm_cusparse_32,/ssget/MM/SNAP/soc-sign-epinions/soc-sign-epinions.cbd,4,4,4,131828,131828,841372,32.79461,95900856,5.848574262660846
170,exe_spgemm_cusparse_64,/ssget/MM/SNAP/soc-sign-epinions/soc-sign-epinions.cbd,8,8,8,131828,131828,841372,42.18217,95900856,4.546985420617289
171,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/soc-sign-epinions/soc-sign-epinions.cbd,2,2,2,131828,131828,841372,32.88616,95900856,5.832292733478157
